key	Citation	title	Demographics	Sample size (discovery)	Sample size calc	Quality control	Confounder correction	blood cell correction	DNAm measuring technique	environment collection	replication attempt	classifier prediction tested	Meta-analysis	Notes	Confounders adjusted
rayyan-1000428383	(Sun et al., 2013)	Epigenomic association analysis identifies smoking-related DNA        methylation sites in African Americans	+/-	972	-	+/-	-	+	+	+	+	NA	-	"No alcohol intake and education; no sex mismatch"	Linear mixed models were implemented in a multiple regression framework to adjust for the relatedness of the studied individuals, including age and sex as covariates. A Bonferroni-corrected p-value of 0.05 (nominal p-value of 2.18�10?6) and False Discovery Rate (FDR) q-value of 0.05 (Giovino 2002) were applied to adjust for multiple testing of 22,927 autosomal DNAm sites. For the DNAm sites that were found to be significantly associated with current smoking status, the beta values were plotted against smoking status, stratified by sex. We mapped smoking-related DNAm sites to known human genes based on chromosomal location (NCBI 36.1). The top ten principal components of 668,293 genome-wide SNP markers were computed among 850 GENOA AAs with both GWAS and DNAm data as previously described (Arnett et al. 2011). The first two principal components were included as covariates in the regression model to adjust for potential effects of genetic admixture on smoking-related DNAm sites in both discovery and replication cohorts. We estimated the proportions of PLC subtypes for each sample using an algorithm developed for 27K chip data (Houseman et al.). The proportions of six different cell types, including granulocyte, monocyte, natural killer cells (NK), B cell, CD4+ and CD8+ T cells, were projected based on top 100 cell-type specific DNAm sites. We included the proportions of PLC subtypes as covariates to assess the association between DNAm and cigarette smoking in a multiple regression model.
rayyan-1000428441	(Langdon et al., 2020)	Identifying epigenetic biomarkers of established prognostic factors and        survival in a clinical cohort of individuals with oropharyngeal cancer	+/-	409	-	+/-	+/-	-	+	+	+/-	NA	-	"No BMI and ethnicity; no probe level QC?"	adjusting for age, sex, surrogate variables obtained by SVA [31] and the other prognostic factors (e.g. for alcohol intake, adjusting for smoking and HPV16E6).�
rayyan-1000428447	(Curtis et al., 2021)	Genome-wide DNA methylation differences and polychlorinated biphenyl        (PCB) exposure in a US population	-	641	-	+	-	+	+	+	+/-	NA	-	"No smoking, alcohol intake, BMI and education; Many surrogate variables compensate for bad demographics, sensitivity analysis checked that results adjusted with cell type composition correlated with main results without cell type composition adjustment"	Age at sample collection, sex, and the 24 significant surrogate variables estimated earlier were used as covariates. As a sensitivity analysis, each congener of PCB was associated separately with DNA methylation, with age, sex, and 24 surrogate variables, and the results from this analysis were correlated with the results from the main analysis using a Pearson�s correlation coefficient. Additionally, a sensitivity analysis controlling for cell type composition and lipid levels (in addition to age, sex, and the 24 surrogate variables) was conducted and the results from this analysis were correlated with the results from the main analysis using a Pearson�s correlation coefficient.
rayyan-1000428477	(Zaghlool et al., 2015)	Association of DNA methylation with age, gender, and smoking in an Arab        population	+/-	123	-	+/-	+/-	+	+	+	+/-	NA	-	"No alcohol, BMI and education; no sex mismatch and outlier QC"	For the smoking association study, the best linear model included the CpG sites and the gender, BMI, age, only two of the cell coefficients (monocytes and granulocytes), only the first PC (PC1), and batch as covariates.
rayyan-1000428493	(Lichtenfels et al., 2018)	Long-term Air Pollution Exposure, Genome-wide DNA Methylation and Lung        Function in the LifeLines Cohort Study	+/-	1017	-	+/-	+/-	+	+	+	+	NA	-	"No alcohol and education; no outlier QC"	The models were adjusted for sex, age, BMI, current smoking, pack-years, and covariates expected to influence the DNA methylation levels (technical covariates and blood cell composition). The potential technical bias was minimized using principal component analysis applied to the control probes included on the 450K chip (Lehne et�al. 2015). We included all PCs that explained �>�1% of the variance. This resulted in the inclusion of the first 7 PCs that together explained 95.5% of total variance. Additionally, the model was adjusted for the measured white blood cell counts (eosinophils, neutrophils, basophils, lymphocytes, and monocytes) to correct for the cellular heterogeneity of blood samples (Jaffe and Irizarry 2014).�
rayyan-1000428496	(Sun et al., 2021)	Assessing the role of genome-wide DNA methylation between smoking and        risk of lung cancer using repeated measurements: the HUNT study	-	280	-	+/-	-	+	+	+	+/-	NA	-	"No alcohol, BMI, ethnicty and education; No probe-level QC, no correction for probes binding SNPs or probes binding multipe regions"	Covariates were included in the linear regression models to adjust for the effects of sex, age and estimated cell counts. Surrogate variable analysis (SVA)25�was used to generate 12 variables that were also included as covariates in the EWAS models to adjust for batch and other technical artefacts.�
rayyan-1000428500	(Liang et al., 2021)	DNA methylation signature on phosphatidylethanol, not on self-reported        alcohol consumption, predicts hazardous alcohol consumption in two        distinct populations	+/-	580	-	-	+/-	+	+	+	+/-	+	-	"No BMI and education; no outlier, sample-level and probe-level QC, no correction for probes binding multiple regions"	Since previous studies have shown that a large number of CpGs were significantly associated with age [52], smoking status [12], race [53], HIV status, and HIV-1 VL [14], these variables were adjusted in the models. The cell proportions of six cell types were also adjusted in the models [54].�
rayyan-1000428518	(Meng et al., 2022)	Epigenome-wide DNA methylation signature of plasma zinc and their        mediation roles in the association of zinc with lung cancer risk	+/-	1399	-	+	+/-	+	+	+	-	NA	-	"No education; has predictor, but predicts lung cancer and not zinc level"	We fitted linear regression with individual INT methylation ? value as the dependent variable, log2�transformed plasma zinc as independent variable, with adjustment for age, gender, BMI, pack-years, smoking status, alcohol drinking status, blood cell-type proportion estimates, and all SVs.
rayyan-1000428525	(Childebayeva et al., 2021)	Genome-Wide Epigenetic Signatures of Adaptive Developmental Plasticity        in the Andes	+/-	113	-	+	-	+	+	+	+	NA	-	No smoking, alcohol and education	DNA methylation ? Group?+?Sex?+?Age?+?Lead levels?+?PC1 (blood cell types)?+?chip batch.�
rayyan-1000428526	(Curtis et al., 2019)	Exposure to polybrominated biphenyl (PBB) associates with genome-wide        DNA methylation differences in peripheral blood	-	666	-	+/-	-	+	+	+	-	NA	-	No outlier QC, no correction for probes binding SNPs	Age at sample collection, sex, lipid level, and cell type proportions estimated earlier were used as covariates.
rayyan-1000428544	(Li et al., 2018)	Causal effect of smoking on DNA methylation in peripheral blood: a twin        and family study	+/-	479	-	+/-	-	+	+	+	+/-	NA	-	No outlier and sample QC	The model was adjusted for age and estimated cell-type proportions [39] as fixed effects and for family and zygosity as random effects, fitted using the�lmer()�function from the R package�lme4�[40].�
rayyan-1000428545	(Dugue et al., 2021)	Alcohol consumption is associated with widespread changes in blood DNA        methylation: Analysis of cross-sectional and longitudinal data	+/-	5606	-	+/-	+/-	+	+	+	+	NA	-	"No education; No outlier, no correction for probes binding SNPs or probes binding multiple regions"	"Models were adjusted by fitting fixed effects for age (continuous), sex, smoking status (never; former, ?15 years ago; former, <15 years ago; current, <20 cigarettes per day; current, ?20 cigarettes per day), body mass index (BMI) (?25, >25 to ?30, and >30 kg/m2), country of birth (Australia/New Zealand, Italy, Greece, UK), sample type (peripheral blood mononuclear cells, dried blood spots, buffy coats), and white blood cell composition (percentage of CD4+ T cells, CD8+ T cells, B cells, NK cells, monocytes, and granulocytes, estimated using the Houseman algorithm27), and random effects for study, plate, and chip"
rayyan-1000428552	(Hoang et al., 2021)	Epigenome-Wide DNA Methylation and Pesticide Use in the Agricultural        Lung Health Study	+/-	1170	-	+	+/-	+	+	+	+/-	NA	-	No alcohol intake, BMI or education 	�All epigenome-wide analyses were adjusted for the study selection factor (asthma status), age at blood collection, smoking status (never, former, current), pack years (continuous), state of residence (Iowa or North Carolina), and seven estimated cell type proportions (monocytes, neutrophils, eosinophils, natural killer cells, B cells, CD4T cells, and CD8T cells�all continuous).�
rayyan-1000428563	(Bozack et al., 2021)	Exposure to arsenic at different life-stages and DNA methylation        meta-analysis in buccal cells and leukocytes	-	120	-	+/-	-	+	-	+	-	NA	+	"No alcohol, BMI, ethnicity and education; No sex mismatch; within-study environment collection consistent, DNAm measuring technique in one study inconsistent"	Models were adjusted for (1) age, smoking status, and sex (in the Chile study), and (2) age, smoking status, sex, and estimated cell type proportions (determined using the Houseman regression calibration method for PBMC samples [37] and ReFACTor for buccal cell samples [38]).�
rayyan-1000428575	(Park et al., 2018)	Association of internal smoking dose with blood DNA methylation in three        racial/ethnic populations	+/-	612	-	-	+/-	+	+	+	+/-	NA	-	"No education; no sex mismatch, outlier, sample-level or probe-level QC"	To evaluate the association of log NE with DNA methylation�?�values, linear regression models were used. We adjusted for age, sex, race/ethnicity (in pan-ethnic analyses, i.e., all races combined), and estimated cell-types distribution. Other variables such as BMI were considered. Findings did not change with the inclusion of BMI and thus were not presented.
rayyan-1000428589	(Wu et al., 2023)	Epigenome-wide association study of short-term temperature fluctuations        based on within-sibship analyses in Australian females	+/-	479	-	+/-	+	+	+	+	-	NA	-	"No ethnicity; no sample QC"	We also added a set of covariates  to the model, including mean temperature, relative humidity, proportions of six cell types, chronological age, education level, BMI, smoking and drinking habits, survey year, and season. Mean temperature and relative humidity were added to the model as potential confounders because they have a relationship with both the temperature fluctuation and DNA methylation (Bind et al., 2014). Chronological age, BMI, smoking and drinking habits were regressed out as they were known covariates associating with DNA methylation (Ryan et al., 2020). Blood cell composition was added to the model to account for potential confounding by cell type due to their distinct methylation signatures (Montano et al., 2016).�
rayyan-1000428603	(Lucia et al., 2022)	Association of Glyphosate Exposure with Blood DNA Methylation in a        Cross-Sectional Study of Postmenopausal Women	+/-	332	-	+/-	+/-	+	+	+	-	+	-	"no education; No outlier QC"	"Epigenetic age acceleration (residuals from a model regressing chronological age on epigenetic age from each clock) and epigenetic pace of aging from DunedinPoAm was examined for association with glyphosate and AMPA, first in univariate linear regression models adjusted for urinary creatinine concentration and then adjusted for age, race/ethnicity, BMI, smoking status, alcohol consumption, organic eating, and HEI, in addition to batch and position on chip. A third model also included estimated WBC type proportions predicted according to Houseman�s method.76�These covariates were selected based on known relationships with either DNA methylation, glyphosate/AMPA, or both; creatinine was included to account for differences in urine concentration."
rayyan-1000428609	(Eze et al., 2020)	Genome-Wide DNA Methylation in Peripheral Blood and Long-Term Exposure        to Source -Specific Transportation Noise and Air Pollution: The SAPALDIA        Study	+/-	1389	-	+	+/-	+	+	+	+/-	NA	-	No ethnicity	"We performed single- as well as multiexposure EWAS for aircraft, railway, and road traffic Lden,�NO2�and�PM2.5, adjusting for age; sex; education; smoking status; pack-years; passive smoking; fruit, vegetable, and alcohol intake; study area; SEP; greenness index; survey; nested study; asthma; Lden truncation indicator; and Houseman estimates of leukocyte composition in the main model.�"
rayyan-1000417471	(Maas et al., 2019)	Validated inference of smoking habits from blood with a finite DNA methylation marker set.	-	3764	-	+/-	-	-	+	-	+	+	-	"Variable cohorts used with different QC; Study primarely makes prediction model and doesn't try to find new CpG sites"	Age and sex
rayyan-1000417624	(Odintsova et al., 2021)	Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles.	+/-	1914	-	+	+/-	+	+	+	-	+/-	-	No socioeconomic status, education, alcohol intake	Sex and age at DNA collection were included as covariates in all three models. In the prediction models with whole blood DNA MSs, we corrected for percentages of neutrophils, monocytes, and eosinophils. In the prediction models with buccal DNA MSs, we corrected for epithelial cell and natural killer cell proportions. To adjust for technical variation, array row and bisulfite plate (dummy-coding) were included as covariates in all models with EWAS covariates. In models including PGSs, we corrected for genotype data-specific covariates: the first ten genetic principal components and genotype platform dummy variables (GWAS covariates).
